Date,,,Sample,Sample ID,Sample Weight [mg],Nitrogen,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Carbon,Carbon,Carbon,Carbon,Carbon,Carbon,Carbon,Carbon,Carbon,Carbon,Carbon,Carbon,Carbon,Carbon,Carbon,Carbon,Carbon,Carbon,Carbon,Carbon,Carbon,Carbon,Carbon,Carbon,Carbon,Carbon,Carbon,Carbon,Carbon,Carbon,Carbon,Carbon,Carbon,,,,,
1/31/20,5,Colibrick - 1,unknown,,28.652,1.852,1.508,2.701,3.789,0.446,0.461,62.826,3.338,1.8,2.4,0.27,62.826,A,0.067,0.23,Refer,Nitrogen,0,0.019,25.347,1.91,0.0245,1.243,3.182,1.8,0,252,5037,,1.514,,0.001,1,2.975,2.753,4.995,133.821,0.463,1.039,3375.16,133.301,98.2,97.6,0.39,3375.16,A,1.706,5.95,Refer,Carbon,0,1,1,3.216,0.0064,1.768,5.091,9.635,0,326,6513,1.999,5.517,,0.001,1,,,,,
1/31/20,6,Colibrick - 1,unknown,,20.87,1.853,1.535,2.649,1.925,0.665,0.61,24.823,1.276,2.4,2.5,0.29,24.823,A,0.012,0.06,Refer,Nitrogen,0,0.025,42.439,1.907,0.024,1.145,2.852,1.698,0,221,4423,,1.436,,0,1,3.104,2.697,4.328,49.471,0.609,0.623,999.606,48.858,97.6,97.5,0.32,999.606,A,0.498,2.39,Refer,Carbon,0,1,1,3.193,0.0307,1.607,4.481,2.426,0,530,10601,2.417,1.735,,0,1,,,,,
1/31/20,7,Colibrick - 1,unknown,,19.843,1.84,1.525,2.744,1.478,0.462,0.455,20.652,1.017,3.4,3.4,0.3,20.652,A,0.006,0.03,Refer,Nitrogen,0,0.036,50.588,1.905,0.0277,1.291,3.346,1.856,0,208,4168,,1.561,,0,1,3.133,2.744,4.901,29.727,0.455,0.468,580.882,29.27,96.6,96.6,0.31,580.882,A,0.285,1.44,Refer,Carbon,0,1,1,3.196,0.0246,1.329,3.479,1.905,0,583,11668,2.521,1.482,,0,1,,,,,
1/31/20,8,Colibrick - 1,unknown,,20.742,1.836,1.504,2.68,3.25,0.434,0.448,49.622,2.811,2,2.4,0.26,49.622,A,0.048,0.23,Refer,Nitrogen,0,0.02,26.085,1.882,0.0197,1.093,2.681,1.649,0,271,5413,,1.408,,0.001,1,2.988,2.723,4.684,114.922,0.45,0.627,2482.414,114.449,98,97.6,0.34,2482.414,A,1.252,6.04,Refer,Carbon,0,1,1,3.132,0.0121,1.821,5.294,6.672,0,421,8425,2.246,3.848,,0.001,1,,,,,
1/31/20,9,Colibrick - 1,unknown,,17.674,1.823,1.489,2.677,4.643,0.518,0.517,71.596,4.126,2.1,2.8,0.25,71.596,A,0.08,0.45,Refer,Nitrogen,0,0.021,21.247,1.872,0.0198,1.16,2.902,1.712,0,284,5676,,1.455,,0.001,1,2.917,2.716,4.995,144.735,0.52,0.95,3368.312,144.177,97.9,97.2,0.36,3368.312,A,1.703,9.63,Refer,Carbon,0,1,1,3.187,0.0038,1.745,5.002,11.19,0,356,7117,2.088,6.359,,0.001,1,,,,,
1/31/20,10,Colibrick - 1,unknown,,22.228,1.848,1.543,2.617,1.601,0.695,0.63,18.237,0.924,3.6,3.6,0.29,18.237,A,0.002,0.01,Refer,Nitrogen,0,0.037,112.582,1.907,0.026,1.217,3.095,1.772,0,218,4358,,1.5,,0,1,3.133,2.715,4.82,25.209,0.625,0.505,486.654,24.608,96.4,96.4,0.3,486.654,A,0.237,1.07,Refer,Carbon,0,1,1,3.194,0.0245,1.294,3.357,1.86,0,599,11980,2.545,1.479,,0,1,,,,,
1/31/20,10,Colibrick - 1,unknown,,29.353,1.851,1.532,2.472,1.511,0.429,0.448,20.21,1.076,3.7,3.7,0.29,20.21,A,0.005,0.02,Refer,Nitrogen,0,0.038,52.164,1.901,0.0221,1.128,2.796,1.682,0,231,4618,,1.411,,0,1,3.141,2.756,4.119,28.248,0.432,0.485,532.039,27.801,96.3,96.3,0.3,532.039,A,0.26,0.89,Refer,Carbon,0,1,1,3.2,0.0229,1.296,3.363,1.862,0,624,12479,2.614,1.463,,0,1,,,,,
1/31/20,11,Colibrick - 1,unknown,,24.855,1.852,1.539,2.404,1.214,0.351,0.389,15.88,0.85,2.4,2.5,0.29,15.88,A,N/A,N/A,Error,Nitrogen,0,0.025,???,1.896,0.0207,1.01,2.412,1.578,0,227,4540,,1.347,,,1,3.133,2.747,4.004,34.159,0.366,0.447,645.461,33.768,97.6,97.5,0.3,645.461,A,0.318,1.28,Refer,Carbon,0,1,1,3.196,0.0234,1.362,3.596,1.95,0,615,12305,2.577,1.494,,0,1,,,,,
1/31/20,12,Colibrick - 1,unknown,,18.616,1.856,1.537,2.689,1.114,0.365,0.377,15.058,0.746,3.1,3,0.3,15.058,A,N/A,N/A,Error,Nitrogen,0,0.033,???,1.916,0.0267,1.23,3.137,1.785,0,212,4241,,1.546,,,1,3.135,2.744,4.427,24.397,0.377,0.402,462.999,24.014,96.9,97,0.3,462.999,A,0.225,1.21,Refer,Carbon,0,1,1,3.19,0.0225,1.225,3.121,1.78,0,610,12205,2.52,1.421,,0,1,,,,,
1/31/20,13,Colibrick - 1,unknown,,23.684,1.84,1.543,2.425,1.218,0.374,0.396,15.705,0.837,2,2.1,0.29,15.705,A,N/A,N/A,Error,Nitrogen,0,0.021,???,1.889,0.0215,1.101,2.706,1.656,0,226,4523,,1.403,,,1,3.093,2.743,4.068,39.089,0.386,0.5,750.637,38.673,98,97.9,0.3,750.637,A,0.372,1.57,Refer,Carbon,0,1,1,3.165,0.0254,1.473,3.991,2.127,0,579,11573,2.504,1.578,,0,1,,,,,
1/31/20,14,Colibrick - 1,unknown,,20.573,1.859,1.543,2.713,1.49,0.388,0.394,21.895,1.101,2.8,2.9,0.3,21.895,A,0.007,0.04,Refer,Nitrogen,0,0.029,50.914,1.915,0.0252,1.178,2.961,1.73,0,218,4369,,1.511,,0,1,3.137,2.715,4.765,37.136,0.394,0.449,766.599,36.73,97.2,97.1,0.32,766.599,A,0.38,1.85,Refer,Carbon,0,1,1,3.214,0.0293,1.464,3.958,2.11,0,528,10562,2.444,1.598,,0,1,,,,,
1/31/20,15,Colibrick - 1,unknown,,28.786,1.86,1.552,2.395,0.935,0.394,0.409,10.245,0.535,2.6,2.6,0.29,10.245,A,N/A,N/A,Error,Nitrogen,0,0.026,???,1.907,0.0219,1.045,2.526,1.607,0,221,4415,,1.368,,,1,3.144,2.748,4.388,20.773,0.391,0.386,390.148,20.383,97.4,97.4,0.3,390.148,A,0.188,0.65,Refer,Carbon,0,1,1,3.195,0.0216,1.142,2.842,1.695,0,625,12500,2.565,1.376,,0,1,,,,,
1/31/20,16,Colibrick - 1,unknown,,29.838,1.841,1.527,2.636,2.405,0.366,0.382,36.102,2.034,1.8,2.2,0.27,36.102,A,0.028,0.09,Refer,Nitrogen,0,0.019,34.173,1.884,0.0188,1.015,2.428,1.582,0,264,5283,,1.363,,0.001,1,3.017,2.725,4.364,92.23,0.383,0.515,1917.189,91.823,98.2,97.8,0.33,1917.189,A,0.965,3.23,Refer,Carbon,0,1,1,3.146,0.0273,1.841,5.371,4.41,0,469,9376,2.334,2.667,,0.001,1,,,,,
1/31/20,17,Colibrick - 1,unknown,,25.804,1.857,1.557,2.436,1.137,0.401,0.42,13.989,0.73,2.8,2.8,0.3,13.989,A,N/A,N/A,Error,Nitrogen,0,0.029,???,1.909,0.0232,1.123,2.78,1.677,0,218,4363,,1.398,,,1,3.137,2.751,4.092,25.847,0.397,0.469,490.694,25.429,97.2,97.2,0.3,490.694,A,0.239,0.93,Refer,Carbon,0,1,1,3.194,0.0228,1.248,3.198,1.805,0,611,12226,2.54,1.435,,0,1,,,,,
1/31/20,18,Colibrick - 1,unknown,,23.613,1.839,1.528,2.708,1.997,0.373,0.386,29.399,1.621,2.3,2.5,0.27,29.399,A,0.018,0.08,Refer,Nitrogen,0,0.024,33.524,1.884,0.0196,1.061,2.577,1.621,0,253,5063,,1.387,,0.001,1,3.079,2.747,4.188,62.679,0.388,0.528,1234.907,62.259,97.7,97.5,0.31,1234.907,A,0.618,2.62,Refer,Carbon,0,1,1,3.181,0.0308,1.727,4.934,2.882,0,544,10881,2.511,1.933,,0.001,1,,,,,
1/31/20,19,Colibrick - 1,unknown,,21.894,1.843,1.529,2.655,1.218,0.415,0.41,15.337,0.804,2.7,2.7,0.28,15.337,A,N/A,N/A,Error,Nitrogen,0,0.028,???,1.894,0.0226,1.126,2.788,1.679,0,233,4664,,1.444,,,1,3.117,2.657,4.623,29.161,0.41,0.424,549.657,28.748,97.3,97.3,0.29,549.657,A,0.269,1.23,Refer,Carbon,0,1,1,3.176,0.0228,1.3,3.38,1.868,0,620,12401,2.599,1.466,,0,1,,,,,
1/31/20,20,Colibrick - 1,unknown,,20.578,1.844,1.559,2.428,0.791,0.39,0.401,7.701,0.397,2.6,2.5,0.29,7.701,A,N/A,N/A,Error,Nitrogen,0,0.027,???,1.903,0.0256,1.236,3.159,1.792,0,217,4339,,1.517,,,1,3.131,2.753,3.939,15.878,0.39,0.444,288.36,15.47,97.4,97.5,0.29,288.36,A,0.137,0.66,Refer,Carbon,0,1,1,3.176,0.02,1.052,2.547,1.613,0,655,13093,2.606,1.337,,0,1,,,,,
1/31/20,20,Colibrick - 1,unknown,,18.586,1.853,1.552,2.344,0.715,0.375,0.401,6.37,0.331,2.5,2.5,0.3,6.37,A,N/A,N/A,Error,Nitrogen,0,0.026,???,1.901,0.0223,1.048,2.535,1.61,0,206,4118,,1.334,,,1,3.143,2.741,4.284,13.218,0.378,0.401,246.764,12.834,97.5,97.5,0.3,246.764,A,0.115,0.62,Refer,Carbon,0,1,1,3.187,0.0209,1.005,2.398,1.574,0,624,12490,2.536,1.325,,0,1,,,,,
9/9/19,bypass,Colibrick - 1,bypass,,0,1.783,1.48,2.4,2.574,1.69,1.736,16.225,0.869,3.2,3.2,0.28,16.225,A,0.012,4.65,Refer,Nitrogen,0,0.033,20.516,1.847,0.0255,1.345,3.534,1.926,0,222,4449,,1.564,,0.001,1,3.004,2.669,3.948,28.213,1.712,1.782,492.434,26.483,96.8,96.8,0.29,492.434,A,0.247,95.35,Refer,Carbon,0,1,1,3.066,0.0227,1.372,3.629,1.964,0,614,12281,2.543,1.545,,0.001,1,,,,,
9/9/19,bypass,Colibrick - 1,bypass,,0,1.784,1.475,2.624,2.56,1.715,1.73,17.341,0.841,4.1,3.7,0.3,17.341,A,0.014,6.44,Refer,Nitrogen,0,0.043,14.52,1.868,0.0345,1.481,4.021,2.142,0,196,3918,,1.717,,0.001,1,2.993,2.625,3.883,23.645,1.73,1.782,405.009,21.9,95.9,96.3,0.28,405.009,A,0.199,93.56,Refer,Carbon,0,1,1,3.05,0.0216,1.282,3.315,1.845,0,615,12309,2.444,1.466,,0,1,,,,,
9/9/19,bypass,Colibrick - 1,bypass,,0,1.783,1.469,2.605,2.781,1.707,1.726,21.423,1.068,4,3.7,0.29,21.423,A,0.02,7.12,Refer,Nitrogen,0,0.042,13.036,1.855,0.0303,1.384,3.672,1.981,0,205,4092,,1.647,,0.001,1,2.969,2.605,3.981,29.629,1.726,1.78,509.755,27.889,96,96.3,0.28,509.755,A,0.257,92.88,Refer,Carbon,0,1,1,3.03,0.0217,1.371,3.627,1.963,0,617,12343,2.437,1.52,,0.001,1,,,,,
9/9/19,Calib\blank cell,Colibrick - 1,blank cell,,0,1.828,1.52,2.432,2.119,1.709,1.737,8.646,0.401,100,100,0.33,8.646,A,0.001,100,Refer,Nitrogen,0,???,???,1.905,0.0342,1.372,3.631,1.964,0,171,3414,,1.533,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/9/19,Calib\blank,Colibrick - 1,blank,,0,1.823,1.516,2.46,2.116,1.691,1.725,9.233,0.414,100,100,0.34,9.233,A,0.002,100,Refer,Nitrogen,0,???,???,1.909,0.0382,1.452,3.916,2.09,0,159,3184,,1.609,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/9/19,Calib\standard 1,Colibrick - 1,standard 1,,1.265,1.739,1.429,2.587,4.802,1.681,1.708,53.257,3.114,3.1,3.4,0.25,53.257,A,0.067,5.26,Refer,Nitrogen,0,0.032,13.467,1.791,0.0199,1.248,3.199,1.806,0,264,5274,,1.545,,0.001,1,2.845,2.588,4.028,91.551,1.708,1.75,1664.576,89.835,96.9,96.6,0.29,1664.576,A,0.897,70.88,Refer,Carbon,0,1,1,2.961,0.02,1.843,5.38,4.69,0,531,10617,2.406,2.858,,0.001,1,,,,,
9/9/19,Calib\standard 2,Colibrick - 1,standard 2,,0.82,1.735,1.435,2.576,3.701,1.636,1.638,36.859,2.064,3.3,3.3,0.26,36.859,A,0.042,5.18,Refer,Nitrogen,0,0.034,13.682,1.795,0.0227,1.331,3.487,1.908,0,242,4832,,1.602,,0.001,1,2.896,2.577,3.96,62.36,1.638,1.678,1094.1,60.713,96.7,96.7,0.28,1094.1,A,0.581,70.81,Refer,Carbon,0,1,1,2.995,0.0264,1.756,5.043,3.052,0,593,11853,2.525,2.036,,0.001,1,,,,,
9/9/19,Calib\standard 3,Colibrick - 1,standard 3,,0.421,1.747,1.443,2.579,2.773,1.596,1.613,22.896,1.172,3.8,3.5,0.28,22.896,A,0.022,5.2,Refer,Nitrogen,0,0.04,13.388,1.823,0.0297,1.447,3.897,2.081,0,210,4191,,1.721,,0.001,1,2.932,2.58,3.816,34.069,1.613,1.641,574.702,32.448,96.2,96.5,0.27,574.702,A,0.293,69.58,Refer,Carbon,0,1,1,2.997,0.0213,1.451,3.912,2.088,0,631,12626,2.504,1.577,,0.001,1,,,,,
9/9/19,Calib\standard 4,Colibrick - 1,standard 4,,1.077,1.732,1.437,2.569,4.216,1.582,1.622,44.983,2.624,3.1,3.2,0.25,44.983,A,0.054,5.05,Refer,Nitrogen,0,0.032,14.032,1.788,0.0208,1.296,3.364,1.862,0,264,5290,,1.584,,0.001,1,2.855,2.572,3.956,79.989,1.622,1.676,1423.874,78.356,96.9,96.8,0.28,1423.874,A,0.763,70.87,Refer,Carbon,0,1,1,2.967,0.0243,1.83,5.329,3.95,0,565,11301,2.484,2.473,,0.001,1,,,,,
9/9/19,Calib\standard 5,Colibrick - 1,standard 5,,1.227,1.731,1.429,2.568,4.531,1.59,1.625,49.241,2.931,3,3.3,0.25,49.241,A,0.061,4.94,Refer,Nitrogen,0,0.031,14.22,1.783,0.0195,1.258,3.234,1.818,0,276,5514,,1.562,,0.001,1,2.851,2.569,4.048,88.46,1.625,1.682,1603.231,86.824,97,96.7,0.29,1603.231,A,0.863,70.3,Refer,Carbon,0,1,1,2.967,0.0212,1.842,5.376,4.521,0,543,10855,2.478,2.777,,0.001,1,,,,,
9/9/19,Calib\00000000,Colibrick - 1,blank,,0,1.824,1.516,2.376,1.838,1.59,1.634,5.111,0.232,100,100,0.35,5.111,A,N/A,N/A,Error,Nitrogen,0,???,???,1.901,0.035,1.365,3.604,1.953,0,151,3021,,1.503,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/9/19,21,Colibrick - 1,unknown,,20.776,1.763,1.401,2.587,2.495,1.61,1.643,16.972,0.875,3.5,3.3,0.28,16.972,A,0.013,0.06,Refer,Nitrogen,0,0.036,17.741,1.838,0.0297,1.43,3.838,2.053,0,220,4391,,1.707,,0.001,1,2.961,2.587,3.848,27.608,1.643,1.701,467.282,25.948,96.5,96.7,0.28,467.282,A,0.233,1.12,Refer,Carbon,0,1,1,3.019,0.0209,1.334,3.496,1.911,0,632,12633,2.538,1.49,,0,1,,,,,
9/9/19,22,Colibrick - 1,unknown,,21.312,1.769,1.489,2.579,2.148,1.656,1.671,10.401,0.488,4.9,4.2,0.3,10.401,A,0.003,0.02,Refer,Nitrogen,0,0.051,24.889,1.891,0.048,1.681,4.761,2.673,0,194,3889,,1.957,,0,1,2.997,2.579,3.768,12.936,1.671,1.686,202.381,11.26,95.1,95.8,0.28,202.381,A,0.087,0.41,Refer,Carbon,0,1,1,3.041,0.0188,1.06,2.574,1.62,0,653,13067,2.522,1.355,,0,1,,,,,
9/9/19,23,Colibrick - 1,unknown,,21.629,1.765,1.465,2.577,2.458,1.645,1.67,15.67,0.806,3.7,3.5,0.28,15.67,A,0.011,0.05,Refer,Nitrogen,0,0.038,17.879,1.844,0.0305,1.471,3.982,2.122,0,220,4404,,1.73,,0.001,1,2.972,2.577,3.921,24.121,1.67,1.724,408.661,22.434,96.3,96.5,0.28,408.661,A,0.201,0.93,Refer,Carbon,0,1,1,3.026,0.0205,1.25,3.208,1.809,0,618,12365,2.537,1.45,,0,1,,,,,
9/9/19,24,Colibrick - 1,unknown,,28.786,1.765,1.468,2.607,2.629,1.65,1.665,18.286,0.975,3.2,3.1,0.27,18.286,A,0.015,0.05,Refer,Nitrogen,0,0.033,18.465,1.83,0.0253,1.349,3.55,1.932,0,233,4667,,1.676,,0.001,1,2.969,2.607,3.896,31.961,1.665,1.714,548.945,30.282,96.8,96.9,0.28,548.945,A,0.279,0.97,Refer,Carbon,0,1,1,3.029,0.0212,1.366,3.608,1.955,0,623,12461,2.574,1.51,,0.001,1,,,,,
9/9/19,25,Colibrick - 1,unknown,,24.599,1.769,1.476,2.613,2.521,1.631,1.647,16.661,0.886,3.4,3.2,0.27,16.661,A,0.013,0.05,Refer,Nitrogen,0,0.035,18.957,1.839,0.0271,1.397,3.717,2,0,234,4688,,1.718,,0.001,1,2.973,2.615,3.868,28.186,1.646,1.706,480.469,26.523,96.6,96.8,0.28,480.469,A,0.241,0.98,Refer,Carbon,0,1,1,3.031,0.0209,1.323,3.459,1.897,0,625,12494,2.574,1.484,,0.001,1,,,,,
9/9/19,26,Colibrick - 1,unknown,,26.939,1.776,1.476,2.599,2.378,1.627,1.637,14.881,0.748,3.6,3.4,0.28,14.881,A,0.01,0.04,Refer,Nitrogen,0,0.037,19.357,1.857,0.0329,1.468,3.973,2.118,0,217,4333,,1.702,,0.001,1,2.975,2.599,4.044,22.986,1.637,1.708,398.05,21.33,96.4,96.6,0.29,398.05,A,0.195,0.72,Refer,Carbon,0,1,1,3.032,0.0219,1.282,3.318,1.846,0,602,12042,2.484,1.478,,0,1,,,,,
9/9/19,27,Colibrick - 1,unknown,,22.061,1.777,1.488,2.62,2.173,1.626,1.639,10.909,0.544,3.5,3.2,0.29,10.909,A,0.004,0.02,Refer,Nitrogen,0,0.036,33.711,1.867,0.0356,1.533,4.211,2.247,0,213,4259,,1.769,,0,1,2.996,2.635,3.848,18.353,1.639,1.688,303.334,16.699,96.5,96.8,0.28,303.334,A,0.143,0.65,Refer,Carbon,0,1,1,3.044,0.0195,1.134,2.816,1.687,0,640,12807,2.544,1.386,,0,1,,,,,
9/9/19,28,Colibrick - 1,unknown,,19.939,1.769,1.48,2.58,2.126,1.623,1.632,10.391,0.501,2.7,2.4,0.29,10.391,A,0.003,0.02,Refer,Nitrogen,0,0.028,52.505,1.878,0.043,1.634,4.582,2.507,0,203,4068,,1.877,,0,1,2.98,2.615,3.897,21.972,1.633,1.683,374.512,20.325,97.3,97.6,0.28,374.512,A,0.182,0.91,Refer,Carbon,0,1,1,3.031,0.0206,1.194,3.015,1.747,0,610,12199,2.48,1.418,,0,1,,,,,
9/9/19,29,Colibrick - 1,unknown,,20.999,1.772,1.483,2.544,2.277,1.611,1.622,12.651,0.663,2.8,2.6,0.27,12.651,A,0.007,0.03,Refer,Nitrogen,0,0.028,32.703,1.847,0.0297,1.43,3.838,2.053,0,231,4612,,1.716,,0.001,1,2.969,2.609,3.844,26.402,1.622,1.677,447.056,24.765,97.2,97.4,0.28,447.056,A,0.222,1.06,Refer,Carbon,0,1,1,3.024,0.0203,1.267,3.263,1.827,0,629,12580,2.553,1.452,,0,1,,,,,
9/9/19,30,Colibrick - 1,unknown,,22.22,1.773,1.468,2.34,2.308,1.598,1.647,12.642,0.694,2.9,3,0.27,12.642,A,0.007,0.03,Refer,Nitrogen,0,0.03,30.663,1.833,0.024,1.288,3.335,1.852,0,231,4619,,1.512,,0.001,1,2.985,2.62,3.937,24.322,1.618,1.694,421.333,22.683,97.1,97,0.29,421.333,A,0.208,0.94,Refer,Carbon,0,1,1,3.04,0.0215,1.254,3.22,1.813,0,606,12129,2.554,1.451,,0,1,,,,,
9/9/19,30,Colibrick - 1,unknown,,21.526,1.777,1.488,2.6,2.277,1.595,1.602,13.238,0.68,3.3,3.1,0.28,13.238,A,0.008,0.04,Refer,Nitrogen,0,0.034,24.862,1.857,0.0315,1.473,3.992,2.128,0,230,4595,,1.771,,0.001,1,2.975,2.6,3.92,22.922,1.602,1.662,389.672,21.303,96.7,96.9,0.28,389.672,A,0.19,0.88,Refer,Carbon,0,1,1,3.028,0.0207,1.234,3.152,1.79,0,625,12505,2.541,1.438,,0,1,,,,,
