Date,Sample,Sample_type,Sample_weight_mg,N_retention_time_min,N_response,N_weight_mg,N_weight%,N_peak_type,N_element,N_C_Response,C_rentention_time_min,C_response,C_weight_mg,C_weight_per,C_peak_type,C_element,C_C_response_ratio,
1/31/20,16,unknown,29.838,1.841,36.102,0.028,0.09,Refer,Nitrogen,0.019,3.017,1917.189,0.965,3.23,Refer,Carbon,1,
1/31/20,17,unknown,25.804,1.857,13.989,N/A,N/A,Error,Nitrogen,0.029,3.137,490.694,0.239,0.93,Refer,Carbon,1,
1/31/20,18,unknown,23.613,1.839,29.399,0.018,0.08,Refer,Nitrogen,0.024,3.079,1234.907,0.618,2.62,Refer,Carbon,1,
1/31/20,19,unknown,21.894,1.843,15.337,N/A,N/A,Error,Nitrogen,0.028,3.117,549.657,0.269,1.23,Refer,Carbon,1,
1/31/20,20,unknown,20.578,1.844,7.701,N/A,N/A,Error,Nitrogen,0.027,3.131,288.36,0.137,0.66,Refer,Carbon,1,
1/31/20,20,unknown,18.586,1.853,6.37,N/A,N/A,Error,Nitrogen,0.026,3.143,246.764,0.115,0.62,Refer,Carbon,1,
09/09/19,bypass,bypass,0,1.783,16.225,0.012,4.65,Refer,Nitrogen,0.033,3.004,492.434,0.247,95.35,Refer,Carbon,1,
09/09/19,bypass,bypass,0,1.784,17.341,0.014,6.44,Refer,Nitrogen,0.043,2.993,405.009,0.199,93.56,Refer,Carbon,1,
09/09/19,bypass,bypass,0,1.783,21.423,0.02,7.12,Refer,Nitrogen,0.042,2.969,509.755,0.257,92.88,Refer,Carbon,1,
09/09/19,Calib\blank cell,blank cell,0,1.828,8.646,0.001,100,Refer,Nitrogen,???,,,,,,,,
09/09/19,Calib\blank,blank,0,1.823,9.233,0.002,100,Refer,Nitrogen,???,,,,,,,,
09/09/19,Calib\standard 1,standard,1.265,1.739,53.257,0.067,5.26,Refer,Nitrogen,0.032,2.845,1664.576,0.897,70.88,Refer,Carbon,1,
09/09/19,Calib\standard 2,standard,0.82,1.735,36.859,0.042,5.18,Refer,Nitrogen,0.034,2.896,1094.1,0.581,70.81,Refer,Carbon,1,
09/09/19,Calib\standard 3,standard,0.421,1.747,22.896,0.022,5.2,Refer,Nitrogen,0.04,2.932,574.702,0.293,69.58,Refer,Carbon,1,
09/09/19,Calib\standard 4,standard,1.077,1.732,44.983,0.054,5.05,Refer,Nitrogen,0.032,2.855,1423.874,0.763,70.87,Refer,Carbon,1,
09/09/19,Calib\standard 5,standard,1.227,1.731,49.241,0.061,4.94,Refer,Nitrogen,0.031,2.851,1603.231,0.863,70.3,Refer,Carbon,1,
09/09/19,Calib\00000000,blank,0,1.824,5.111,N/A,N/A,Error,Nitrogen,???,,,,,,,,
09/09/19,21,unknown,20.776,1.763,16.972,0.013,0.06,Refer,Nitrogen,0.036,2.961,467.282,0.233,1.12,Refer,Carbon,1,
09/09/19,22,unknown,21.312,1.769,10.401,0.003,0.02,Refer,Nitrogen,0.051,2.997,202.381,0.087,0.41,Refer,Carbon,1,
09/09/19,23,unknown,21.629,1.765,15.67,0.011,0.05,Refer,Nitrogen,0.038,2.972,408.661,0.201,0.93,Refer,Carbon,1,
09/09/19,24,unknown,28.786,1.765,18.286,0.015,0.05,Refer,Nitrogen,0.033,2.969,548.945,0.279,0.97,Refer,Carbon,1,
09/09/19,25,unknown,24.599,1.769,16.661,0.013,0.05,Refer,Nitrogen,0.035,2.973,480.469,0.241,0.98,Refer,Carbon,1,
09/09/19,26,unknown,26.939,1.776,14.881,0.01,0.04,Refer,Nitrogen,0.037,2.975,398.05,0.195,0.72,Refer,Carbon,1,
09/09/19,27,unknown,22.061,1.777,10.909,0.004,0.02,Refer,Nitrogen,0.036,2.996,303.334,0.143,0.65,Refer,Carbon,1,
09/09/19,28,unknown,19.939,1.769,10.391,0.003,0.02,Refer,Nitrogen,0.028,2.98,374.512,0.182,0.91,Refer,Carbon,1,
09/09/19,29,unknown,20.999,1.772,12.651,0.007,0.03,Refer,Nitrogen,0.028,2.969,447.056,0.222,1.06,Refer,Carbon,1,
09/09/19,30,unknown,22.22,1.773,12.642,0.007,0.03,Refer,Nitrogen,0.03,2.985,421.333,0.208,0.94,Refer,Carbon,1,
09/09/19,30,unknown,21.526,1.777,13.238,0.008,0.04,Refer,Nitrogen,0.034,2.975,389.672,0.19,0.88,Refer,Carbon,1,
09/09/19,Calib\standard 6,standard,1.975,1.731,70.59,0.092,4.66,Refer,Nitrogen,0.028,2.769,2554.52,1.39,70.36,Refer,Carbon,1,
09/09/19,Calib\00000001,blank cell,0,,,,,,,,,,,,,,,
09/09/19,31,unknown,19.293,1.771,8.778,0.001,0.01,Refer,Nitrogen,0.039,2.976,225.734,0.1,0.52,Refer,Carbon,1,
09/09/19,32,unknown,23.013,1.763,9.635,0.002,0.01,Refer,Nitrogen,0.023,2.969,411.372,0.202,0.88,Refer,Carbon,1,
09/09/19,33,unknown,23.775,1.777,26.109,0.027,0.11,Refer,Nitrogen,0.031,2.929,834.535,0.437,1.84,Refer,Carbon,1,
09/09/19,34,unknown,21.071,1.756,9.624,0.002,0.01,Refer,Nitrogen,0.026,2.963,374.198,0.182,0.86,Refer,Carbon,1,
09/09/19,35,unknown,24.878,1.768,32.492,0.036,0.14,Refer,Nitrogen,0.024,2.891,1329.322,0.711,2.86,Refer,Carbon,1,
09/09/19,36,unknown,27.066,1.772,14.463,0.009,0.03,Refer,Nitrogen,0.021,2.932,679.936,0.351,1.3,Refer,Carbon,1,
09/09/19,37,unknown,20.015,1.765,11.016,0.004,0.02,Refer,Nitrogen,0.03,2.963,367.133,0.178,0.89,Refer,Carbon,1,
09/09/19,38,unknown,15.423,1.767,14.978,0.01,0.07,Refer,Nitrogen,0.025,2.935,599.286,0.307,1.99,Refer,Carbon,1,
09/09/19,39,unknown,19.045,1.764,13.098,0.007,0.04,Refer,Nitrogen,0.021,2.957,615.276,0.315,1.66,Refer,Carbon,1,
09/09/19,40,unknown,17.403,1.751,8.975,0.001,0.01,Refer,Nitrogen,0.02,2.935,438.894,0.218,1.25,Refer,Carbon,1,
09/09/19,40,unknown,20.556,1.764,13.069,0.007,0.04,Refer,Nitrogen,0.021,2.936,631.736,0.325,1.58,Refer,Carbon,1,
09/09/19,Calib\standard 7,standard,1.667,1.735,58.963,0.075,4.5,Refer,Nitrogen,0.027,2.784,2172.822,1.178,70.67,Refer,Carbon,1,
09/09/19,Calib\00000002,blank cell,0,,,,,,,,,,,,,,,
09/09/19,41,unknown,15.926,1.752,30.221,0.033,0.21,Refer,Nitrogen,0.016,2.831,1839.918,0.994,6.24,Refer,Carbon,1,
09/09/19,42,unknown,20.124,1.783,11.449,0.005,0.02,Refer,Nitrogen,0.021,2.956,546.146,0.277,1.38,Refer,Carbon,1,
09/09/19,43,unknown,26.001,1.793,9.123,0.002,0.01,Refer,Nitrogen,0.022,2.976,406.196,0.2,0.77,Refer,Carbon,1,
09/09/19,44,unknown,25.06,1.791,4.798,N/A,N/A,Error,Nitrogen,0.018,2.989,273.411,0.126,0.5,Refer,Carbon,1,
09/09/19,45,unknown,19.278,1.784,18.047,0.015,0.08,Refer,Nitrogen,0.021,2.955,878.454,0.461,2.39,Refer,Carbon,1,
09/09/19,46,unknown,18.698,1.808,8.093,0,0,Refer,Nitrogen,0.028,3.009,293.799,0.137,0.73,Refer,Carbon,1,
09/09/19,47,unknown,17.535,1.797,9.507,0.002,0.01,Refer,Nitrogen,0.018,2.989,518.911,0.262,1.49,Refer,Carbon,1,
09/09/19,48,unknown,15.92,1.843,7.48,N/A,N/A,Error,Nitrogen,0.015,3.031,496.638,0.25,1.57,Refer,Carbon,1,
09/09/19,49,unknown,25.124,1.843,13.756,0.008,0.03,Refer,Nitrogen,0.022,3.047,632.951,0.325,1.29,Refer,Carbon,1,
09/09/19,50,unknown,27.229,1.856,9.406,0.002,0.01,Refer,Nitrogen,0.023,3.06,409.266,0.201,0.74,Refer,Carbon,1,
09/09/19,50,unknown,22.946,1.841,8.167,0,0,Refer,Nitrogen,0.023,3.061,349.123,0.168,0.73,Refer,Carbon,1,
10/23/19,bypass,bypass,0,1.816,15.47,0.105,47.96,Refer,Nitrogen,0.063,3.044,244.514,0.113,52.04,Refer,Carbon,1,
10/23/19,bypass,bypass,0,1.815,17.507,0.121,32.51,Refer,Nitrogen,0.035,3.031,495.625,0.25,67.49,Refer,Carbon,1,
10/23/19,bypass,bypass,0,1.816,15.169,0.102,36.17,Refer,Nitrogen,0.041,3.021,367.302,0.18,63.83,Refer,Carbon,1,
10/23/19,Calib\blank cell,blank cell,0,,,,,,,,,,,,,,,
10/23/19,Calib\blank,blank,0,,,,,,,,,,,,,,,
10/23/19,Calib\standard,standard,1.097,1.772,43.753,0.326,29.76,Refer,Nitrogen,0.03,2.904,1464.987,0.778,70.95,Refer,Carbon,1,
10/23/19,Calib\00000000,standard,0.678,1.769,26.511,0.191,28.2,Refer,Nitrogen,0.029,2.96,914.83,0.479,70.59,Refer,Carbon,1,
10/23/19,Calib\00000001,standard,1.058,1.773,42.639,0.318,30.03,Refer,Nitrogen,0.03,2.907,1409.585,0.748,70.71,Refer,Carbon,1,
10/23/19,Calib\00000002,standard,0.77,1.772,31.462,0.23,29.88,Refer,Nitrogen,0.031,2.936,1024.152,0.538,69.89,Refer,Carbon,1,
10/23/19,Calib\00000003,standard,1.437,1.772,55.379,0.418,29.07,Refer,Nitrogen,0.029,2.876,1886.837,1.008,70.15,Refer,Carbon,1,
10/23/19,Calib\00000004,blank,0,,,,,,,,,,,,,,,
10/23/19,51,unknown,29.253,1.813,20.369,0.143,0.49,Refer,Nitrogen,0.031,3.008,654.287,0.337,1.15,Refer,Carbon,1,
10/23/19,52,unknown,19.887,1.811,12.164,0.079,0.4,Refer,Nitrogen,0.027,3.013,451.725,0.226,1.14,Refer,Carbon,1,
10/23/19,53,unknown,16.036,,,,,,,,3.013,180.295,0.079,0.49,Refer,Carbon,1,
10/23/19,54,unknown,21.246,1.807,14.612,0.098,0.46,Refer,Nitrogen,0.017,2.996,852.343,0.445,2.09,Refer,Carbon,1,
10/23/19,55,unknown,23.382,1.816,13.82,0.092,0.39,Refer,Nitrogen,0.015,2.983,916.822,0.48,2.05,Refer,Carbon,1,
10/23/19,56,unknown,21.187,1.799,17.666,0.122,0.57,Refer,Nitrogen,0.017,2.959,1025.946,0.539,2.54,Refer,Carbon,1,
10/23/19,57,unknown,23.899,1.807,31.939,0.234,0.98,Refer,Nitrogen,0.025,2.952,1294.009,0.685,2.87,Refer,Carbon,1,
10/23/19,58,unknown,18.071,1.811,29.079,0.211,1.17,Refer,Nitrogen,0.018,2.931,1587.764,0.845,4.68,Refer,Carbon,1,
10/23/19,59,unknown,19.989,1.812,14.074,0.094,0.47,Refer,Nitrogen,0.025,3.015,553.526,0.282,1.41,Refer,Carbon,1,
10/23/19,60,unknown,25.583,1.812,9.401,0.057,0.22,Refer,Nitrogen,0.024,3.013,387.474,0.191,0.75,Refer,Carbon,1,
10/23/19,60,unknown,23.456,1.808,10.928,0.069,0.29,Refer,Nitrogen,0.035,3.012,316.363,0.153,0.65,Refer,Carbon,1,
10/23/19,Calib\00000005,standard,1.184,1.769,46.197,0.346,29.19,Refer,Nitrogen,0.029,2.885,1577.161,0.839,70.89,Refer,Carbon,1,
10/23/19,Calib\00000006,blank cell,0,,,,,,,,,,,,,,,
10/23/19,61,unknown,26.383,1.803,11.163,0.071,0.27,Refer,Nitrogen,0.034,3.015,331.581,0.161,0.61,Refer,Carbon,1,
10/23/19,62,unknown,21.48,1.804,9.442,0.057,0.27,Refer,Nitrogen,0.042,3.013,222.967,0.102,0.47,Refer,Carbon,1,
10/23/19,63,unknown,16.223,,,,,,,,3.009,177.163,0.077,0.47,Refer,Carbon,1,
10/23/19,64,unknown,21.551,1.82,9.761,0.06,0.28,Refer,Nitrogen,0.035,3.021,282.435,0.134,0.62,Refer,Carbon,1,
10/23/19,65,unknown,34.757,1.813,12.72,0.083,0.24,Refer,Nitrogen,0.036,3,352.614,0.172,0.5,Refer,Carbon,1,
10/23/19,66,unknown,23.715,1.807,13.047,0.086,0.36,Refer,Nitrogen,0.025,2.988,520.542,0.264,1.11,Refer,Carbon,1,
10/23/19,67,unknown,24.348,1.809,16.748,0.115,0.47,Refer,Nitrogen,0.03,2.992,564.752,0.288,1.18,Refer,Carbon,1,
10/23/19,68,unknown,22.046,1.805,39.954,0.297,1.35,Refer,Nitrogen,0.018,2.88,2205.113,1.181,5.36,Refer,Carbon,1,
10/23/19,69,unknown,17.693,1.803,9.932,0.061,0.35,Refer,Nitrogen,0.034,3.012,296.252,0.142,0.8,Refer,Carbon,1,
10/23/19,70,unknown,26.165,1.801,14.166,0.094,0.36,Refer,Nitrogen,0.027,2.987,518.67,0.263,1,Refer,Carbon,1,
10/23/19,70,unknown,35.122,1.799,17.152,0.118,0.34,Refer,Nitrogen,0.028,2.976,623.651,0.32,0.91,Refer,Carbon,1,
10/23/19,Calib\00000007,standard,1.212,1.765,48.179,0.361,29.8,Refer,Nitrogen,0.03,2.871,1608.145,0.856,70.65,Refer,Carbon,1,
10/23/19,Calib\00000008,blank cell,0,,,,,,,,,,,,,,,
10/23/19,71,unknown,23.203,1.796,49.417,0.371,1.6,Refer,Nitrogen,0.024,2.867,2098.167,1.123,4.84,Refer,Carbon,1,
10/23/19,72,unknown,30.248,1.809,14.578,0.098,0.32,Refer,Nitrogen,0.03,2.992,483.843,0.244,0.81,Refer,Carbon,1,
10/23/19,73,unknown,36.257,1.805,15.292,0.103,0.28,Refer,Nitrogen,0.034,2.979,453.195,0.227,0.63,Refer,Carbon,1,
10/23/19,74,unknown,17.457,1.787,14.192,0.095,0.54,Refer,Nitrogen,0.026,2.975,544.163,0.277,1.59,Refer,Carbon,1,
10/23/19,75,unknown,22.932,1.812,10.34,0.064,0.28,Refer,Nitrogen,0.026,2.989,401.913,0.199,0.87,Refer,Carbon,1,
10/23/19,76,unknown,21.894,1.793,15.818,0.107,0.49,Refer,Nitrogen,0.024,2.967,668.697,0.345,1.57,Refer,Carbon,1,
10/23/19,77,unknown,15.279,1.793,34.378,0.253,1.66,Refer,Nitrogen,0.019,2.879,1774.402,0.947,6.2,Refer,Carbon,1,
10/23/19,78,unknown,29.214,1.816,13.011,0.085,0.29,Refer,Nitrogen,0.026,2.989,496.626,0.251,0.86,Refer,Carbon,1,
10/23/19,79,unknown,15.572,1.795,14.788,0.099,0.64,Refer,Nitrogen,0.022,2.985,685.613,0.354,2.27,Refer,Carbon,1,
10/23/19,80,unknown,26.898,1.823,28.644,0.208,0.77,Refer,Nitrogen,0.023,2.945,1252.921,0.663,2.46,Refer,Carbon,1,
10/23/19,80,unknown,23.23,1.807,34.408,0.253,1.09,Refer,Nitrogen,0.019,2.904,1773.853,0.947,4.07,Refer,Carbon,1,
2/17/2020,_2_17_2020 9_11_57 PM_001,bypass,0,1.677,38.66,0.046,6.69,Refer,Nitrogen,0.04,3.089,975.936,0.644,93.31,Refer,Carbon,1,
2/17/2020,_2_17_2020 9_16_59 PM_002,bypass,0,1.791,39.887,0.048,5.68,Refer,Nitrogen,0.033,3.097,1201.691,0.797,94.32,Refer,Carbon,1,
2/17/2020,_2_17_2020 9_22_00 PM_003,bypass,0,1.797,27.656,0.03,6.43,Refer,Nitrogen,0.041,3.127,675.357,0.442,93.57,Refer,Carbon,1,
2/17/2020,Calib\_2_17_2020 9_27_01 PM_004,blank,0,1.801,12.714,0.009,99.52,Refer,Nitrogen,0.816,3.169,15.581,0,0.48,Refer,Carbon,1,
2/17/2020,Calib\_2_17_2020 9_32_03 PM_005,blank,0,1.8,12.423,0.008,100,Refer,Nitrogen,???,,,,,,,,
2/17/2020,Calib\_2_17_2020 9_37_05 PM_006,standard,0.555,1.767,26.964,0.029,5.29,Refer,Nitrogen,0.045,3.061,600.686,0.392,70.61,Refer,Carbon,1,
2/17/2020,Calib\_2_17_2020 9_42_08 PM_007,standard,0.788,1.776,34.733,0.041,5.15,Refer,Nitrogen,0.041,3.033,842.211,0.554,70.34,Refer,Carbon,1,
2/17/2020,Calib\_2_17_2020 9_47_10 PM_008,standard,1.037,1.775,41.582,0.05,4.86,Refer,Nitrogen,0.037,3.007,1109.502,0.734,70.82,Refer,Carbon,1,
2/17/2020,Calib\_2_17_2020 9_52_13 PM_009,standard,1.399,1.764,51.902,0.065,4.66,Refer,Nitrogen,0.035,2.979,1476.071,0.982,70.21,Refer,Carbon,1,
2/17/2020,Calib\_2_17_2020 9_57_16 PM_010,blank,0,1.817,11.426,0.007,100,Refer,Nitrogen,???,,,,,,,,
2/17/2020,101,unknown,20.769,1.796,31.37,0.036,0.17,Refer,Nitrogen,0.03,3.051,1034.824,0.684,3.29,Refer,Carbon,1,
2/17/2020,102,unknown,21.678,1.801,18.974,0.018,0.08,Refer,Nitrogen,0.048,3.107,393.709,0.253,1.17,Refer,Carbon,1,
2/17/2020,103,unknown,21.998,1.803,19.044,0.018,0.08,Refer,Nitrogen,0.049,3.121,390.85,0.251,1.14,Refer,Carbon,1,
2/17/2020,104,unknown,21.048,1.803,32.349,0.037,0.18,Refer,Nitrogen,0.031,3.053,1055.883,0.698,3.32,Refer,Carbon,1,
2/17/2020,105,unknown,22.743,1.792,33.457,0.039,0.17,Refer,Nitrogen,0.027,3.025,1242.859,0.824,3.63,Refer,Carbon,1,
2/17/2020,106,unknown,22.485,1.811,13.374,0.01,0.04,Refer,Nitrogen,0.054,3.127,247.69,0.155,0.69,Refer,Carbon,1,
2/17/2020,107,unknown,23.097,1.805,17.029,0.015,0.07,Refer,Nitrogen,0.042,3.097,410.159,0.264,1.14,Refer,Carbon,1,
2/17/2020,108,unknown,23.076,1.805,16.712,0.015,0.06,Refer,Nitrogen,0.036,3.093,458.54,0.296,1.28,Refer,Carbon,1,
2/17/2020,109,unknown,23.794,1.812,10.72,0.006,0.03,Refer,Nitrogen,0.062,3.129,173.692,0.106,0.44,Refer,Carbon,1,
2/17/2020,110,unknown,19.911,1.82,8.593,0.003,0.01,Refer,Nitrogen,0.07,3.117,123.419,0.072,0.36,Refer,Carbon,1,
2/17/2020,110,unknown,24.392,1.815,9.084,0.004,0.02,Refer,Nitrogen,0.057,3.116,159.45,0.096,0.39,Refer,Carbon,1,
2/17/2020,Calib\_2_17_2020 10_57_37 PM_022,standard,1.459,1.768,45.711,0.056,3.86,Refer,Nitrogen,0.029,2.961,1551.024,1.033,70.8,Refer,Carbon,1,
2/17/2020,Calib\_2_17_2020 11_02_43 PM_023,blank,0,1.823,4.697,N/A,N/A,Error,Nitrogen,???,,,,,,,,
2/17/2020,111,unknown,22.927,1.809,10.738,0.006,0.03,Refer,Nitrogen,0.05,3.096,214.132,0.133,0.58,Refer,Carbon,1,
2/17/2020,112,unknown,20.288,1.777,41.414,0.05,0.25,Refer,Nitrogen,0.021,2.948,1937.593,1.296,6.39,Refer,Carbon,1,
2/17/2020,113,unknown,23.375,1.793,24.808,0.026,0.11,Refer,Nitrogen,0.022,3.035,1121.238,0.742,3.18,Refer,Carbon,1,
2/17/2020,114,unknown,24.682,1.807,8.678,0.003,0.01,Refer,Nitrogen,0.036,3.1,240.04,0.15,0.61,Refer,Carbon,1,
2/17/2020,115,unknown,23.206,1.796,22.369,0.023,0.1,Refer,Nitrogen,0.021,3.036,1057.324,0.699,3.01,Refer,Carbon,1,
2/17/2020,116,unknown,24.512,1.809,11.227,0.007,0.03,Refer,Nitrogen,0.026,3.097,428.028,0.276,1.13,Refer,Carbon,1,
2/17/2020,117,unknown,23.519,1.797,17.829,0.016,0.07,Refer,Nitrogen,0.028,3.063,645.946,0.422,1.8,Refer,Carbon,1,
2/17/2020,118,unknown,21.585,1.795,16.851,0.015,0.07,Refer,Nitrogen,0.025,3.067,665.632,0.436,2.02,Refer,Carbon,1,
2/17/2020,119,unknown,20.739,1.803,10.282,0.005,0.03,Refer,Nitrogen,0.022,3.1,459.941,0.297,1.43,Refer,Carbon,1,
2/17/2020,120,unknown,21.996,1.825,9.879,0.005,0.02,Refer,Nitrogen,0.032,3.1,312.059,0.198,0.9,Refer,Carbon,1,
2/17/2020,120,unknown,24.042,1.8,9.896,0.005,0.02,Refer,Nitrogen,0.033,3.096,300.844,0.191,0.79,Refer,Carbon,1,
2/21/20,bypass,bypass,0,1.836,13.122,0.009,3.03,Refer,Nitrogen,0.028,3.145,467.328,0.286,96.97,Refer,Carbon,1,
2/21/20,bypass,bypass,0,1.835,17.021,0.016,4.38,Refer,Nitrogen,0.031,3.131,550.638,0.339,95.62,Refer,Carbon,1,
2/21/20,bypass,bypass,0,1.835,16.045,0.014,4.75,Refer,Nitrogen,0.035,3.135,454.427,0.278,95.25,Refer,Carbon,1,
2/21/20,Calib\blank,blank,0,1.839,8.698,0.001,100,Refer,Nitrogen,0.799,3.181,10.885,N/A,N/A,Error,Carbon,1,
2/21/20,Calib\00000000,blank,0,1.839,8.471,0.001,100,Refer,Nitrogen,???,,,,,,,,
2/21/20,Calib\standard,standard,0.42,1.791,21.947,0.024,5.67,Refer,Nitrogen,0.046,3.061,482.271,0.296,70.4,Refer,Carbon,1,
2/21/20,Calib\00000001,standard,0.873,1.768,33.012,0.042,4.87,Refer,Nitrogen,0.033,3.015,988.118,0.617,70.67,Refer,Carbon,1,
2/21/20,Calib\00000002,standard,1.075,1.773,38.677,0.052,4.84,Refer,Nitrogen,0.033,2.992,1185.28,0.742,69.03,Refer,Carbon,1,
2/21/20,Calib\00000003,standard,1.127,1.773,39.273,0.053,4.71,Refer,Nitrogen,0.031,2.981,1265.388,0.793,70.36,Refer,Carbon,1,
2/21/20,Calib\00000004,blank,0,1.829,6.482,N/A,N/A,Error,Nitrogen,???,,,,,,,,
2/21/20,121,unknown,24.787,1.821,14.277,0.011,0.04,Refer,Nitrogen,0.033,3.12,430.481,0.263,1.06,Refer,Carbon,1,
2/21/20,122,unknown,22.636,1.821,12.838,0.008,0.04,Refer,Nitrogen,0.07,3.12,182.376,0.105,0.46,Refer,Carbon,1,
2/21/20,123,unknown,23.92,1.809,14.005,0.01,0.04,Refer,Nitrogen,0.036,3.112,384.095,0.233,0.98,Refer,Carbon,1,
2/21/20,124,unknown,21.802,1.815,13.72,0.01,0.05,Refer,Nitrogen,0.046,3.121,298.404,0.179,0.82,Refer,Carbon,1,
2/21/20,125,unknown,24.679,1.789,50.467,0.072,0.29,Refer,Nitrogen,0.021,2.923,2423.837,1.529,6.19,Refer,Carbon,1,
2/21/20,126,unknown,25.406,1.82,12.126,0.007,0.03,Refer,Nitrogen,0.035,3.112,349.66,0.211,0.83,Refer,Carbon,1,
2/21/20,127,unknown,21.054,1.807,10.934,0.005,0.02,Refer,Nitrogen,0.029,3.107,375.428,0.228,1.08,Refer,Carbon,1,
2/21/20,128,unknown,23.221,1.799,22.627,0.025,0.11,Refer,Nitrogen,0.03,3.064,756.414,0.47,2.02,Refer,Carbon,1,
2/21/20,129,unknown,22.391,1.803,30.462,0.038,0.17,Refer,Nitrogen,0.023,3.029,1318.882,0.827,3.69,Refer,Carbon,1,
2/21/20,130,unknown,25.264,1.812,11.461,0.006,0.02,Refer,Nitrogen,0.028,3.115,403.521,0.246,0.97,Refer,Carbon,1,
2/21/20,130,unknown,20.902,1.805,10.093,0.004,0.02,Refer,Nitrogen,0.027,3.111,373.863,0.227,1.09,Refer,Carbon,1,
2/21/20,Calib\00000005,standard,1.27,1.757,39.384,0.053,4.19,Refer,Nitrogen,0.027,2.952,1452.162,0.912,71.78,Refer,Carbon,1,
2/21/20,Calib\00000006,blank,0,,,,,,,,3.184,21.249,0.003,100,Refer,Carbon,1,
2/21/20,131,unknown,24.949,1.811,11.592,0.006,0.03,Refer,Nitrogen,0.023,3.103,496.391,0.305,1.22,Refer,Carbon,1,
2/21/20,132,unknown,20.851,1.788,18.025,0.017,0.08,Refer,Nitrogen,0.02,3.031,909.139,0.567,2.72,Refer,Carbon,1,
2/21/20,133,unknown,2.044,1.803,7.578,N/A,N/A,Error,Nitrogen,0.023,3.1,325.111,0.196,9.58,Refer,Carbon,1,
2/21/20,134,unknown,23.273,1.813,9.165,0.002,0.01,Refer,Nitrogen,0.029,3.119,320.539,0.193,0.83,Refer,Carbon,1,
2/21/20,135,unknown,27.8,1.817,8.7,0.001,0.01,Refer,Nitrogen,0.028,3.107,311.031,0.187,0.67,Refer,Carbon,1,
