Data downloaded from Alaska Climate Research Center (https://akclimate.org)
Station name: Fairbanks
Station ID: USW00026411
Downloaded: Wed May 11 2022 15:30:16 GMT-0600 (Mountain Daylight Time)

"Date","Mean Temperature (degF)"
"2019-05-11","47.5"
"2019-05-12","50.5"
"2019-05-13","52"
"2019-05-14","50"
"2019-05-15","57.5"
"2019-05-16","62"
"2019-05-17","57"
"2019-05-18","57"
"2019-05-19","57"
"2019-05-20","57"
"2019-05-21","58.5"
"2019-05-22","59"
"2019-05-23","58.5"
"2019-05-24","57.5"
"2019-05-25","60"
"2019-05-26","65.5"
"2019-05-27","60.5"
"2019-05-28","56.5"
"2019-05-29","58"
"2019-05-30","62"
"2019-05-31","59"
"2019-06-01","53"
"2019-06-02","57.5"
"2019-06-03","56.5"
"2019-06-04","58"
"2019-06-05","58"
"2019-06-06","59"
"2019-06-07","57.5"
"2019-06-08","57.5"
"2019-06-09","59.5"
"2019-06-10","61"
"2019-06-11","62"
"2019-06-12","60.5"
"2019-06-13","63"
"2019-06-14","64"
"2019-06-15","65.5"
"2019-06-16","67.5"
"2019-06-17","62.5"
"2019-06-18","65"
"2019-06-19","69"
"2019-06-20","68.5"
"2019-06-21","70"
"2019-06-22","70.5"
"2019-06-23","63.5"
"2019-06-24","66"
"2019-06-25","64"
"2019-06-26","65.5"
"2019-06-27","65"
"2019-06-28","71.5"
"2019-06-29","74"
"2019-06-30","70.5"
"2019-07-01","61"
"2019-07-02","61"
"2019-07-03","66.5"
"2019-07-04","64.5"
"2019-07-05","71.5"
"2019-07-06","71.5"
"2019-07-07","69.5"
"2019-07-08","69"
"2019-07-09","71"
"2019-07-10","70"
"2019-07-11","72"
"2019-07-12","62.5"
"2019-07-13","68.5"
"2019-07-14","66"
"2019-07-15","66"
"2019-07-16","61.5"
"2019-07-17","64.5"
"2019-07-18","68.5"
"2019-07-19","63.5"
"2019-07-20","61"
"2019-07-21","67.5"
"2019-07-22","67.5"
"2019-07-23","71.5"
"2019-07-24","71.5"
"2019-07-25","67"
"2019-07-26","60"
"2019-07-27","62"
"2019-07-28","62"
"2019-07-29","62"
"2019-07-30","62"
"2019-07-31","63"
"2019-08-01","60.5"
"2019-08-02","57"
"2019-08-03","63"
"2019-08-04","58.5"
"2019-08-05","58"
"2019-08-06","62.5"
"2019-08-07","59.5"
"2019-08-08","59"
"2019-08-09","61.5"
"2019-08-10","58.5"
"2019-08-11","60"
"2019-08-12","60"
"2019-08-13","61.5"
"2019-08-14","59"
"2019-08-15","55.5"
"2019-08-16","52"
"2019-08-17","53.5"
"2019-08-18","50.5"
"2019-08-19","49"
"2019-08-20","52"
"2019-08-21","51"
"2019-08-22","50"
"2019-08-23","51.5"
"2019-08-24","51.5"
"2019-08-25","49"
"2019-08-26","52.5"
"2019-08-27","54"
"2019-08-28","52.5"
"2019-08-29","54"
"2019-08-30","52.5"
"2019-08-31","54.5"
"2019-09-01","56.5"
"2019-09-02","60.5"
"2019-09-03","53.5"
"2019-09-04","53.5"
"2019-09-05","52.5"
"2019-09-06","52.5"
"2019-09-07","57"
"2019-09-08","59.5"
"2019-09-09","56"
"2019-09-10","52"
"2019-09-11","52.5"
"2019-09-12","52.5"
"2019-09-13","60"
"2019-09-14","52.5"
"2019-09-15","50"
"2019-09-16","50"
"2019-09-17","42"
"2019-09-18","43.5"
"2019-09-19","45"
"2019-09-20","48.5"
"2019-09-21","41"
"2019-09-22","39.5"
"2019-09-23","42"
"2019-09-24","36.5"
"2019-09-25","38.5"
"2019-09-26","37.5"
"2019-09-27","37.5"
"2019-09-28","41"
"2019-09-29","45.5"
"2019-09-30","44"
"2019-10-01","39.5"
"2019-10-02","38.5"
"2019-10-03","37"
"2019-10-04","37"
"2019-10-05","32.5"
"2019-10-06","32.5"
"2019-10-07","34"
"2019-10-08","34.5"
"2019-10-09","38"
"2019-10-10","38"
"2019-10-11","34.5"
"2019-10-12","32.5"
"2019-10-13","27"
"2019-10-14","25.5"
"2019-10-15","25.5"
"2019-10-16","25.5"
"2019-10-17","28"
"2019-10-18","33"
"2019-10-19","32.5"
"2019-10-20","32"
"2019-10-21","27.5"
"2019-10-22","27"
"2019-10-23","30"
"2019-10-24","31.5"
"2019-10-25","25.5"
"2019-10-26","27.5"
"2019-10-27","40"
"2019-10-28","38"
"2019-10-29","30"
"2019-10-30","26.5"
